model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,4,2590.46626663208,200,12.9523313331604
resnet50,10,4,2711.6651153564453,69,39.29949442545573

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,4136.589735031128,200,20.68294867515564
resnet50,10,4,4268.839202880859,108,39.52628891556351

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,7086.47354888916,200,35.4323677444458
resnet50,10,4,7241.424263000488,183,39.57062438798081

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,4,2597.4032974243164,200,12.987016487121583
resnet50,10,8,2719.0129470825195,39,69.71828069442358

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,4141.011011123657,200,20.705055055618285
resnet50,10,8,4255.704322814941,61,69.76564463631051

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,7105.333248138428,200,35.52666624069214
resnet50,10,8,7277.733657836914,104,69.97820824843187

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,4,2621.577250480652,200,13.10788625240326
resnet50,10,16,2813.904197692871,26,108.2270845266489

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,4158.051511764526,200,20.79025755882263
resnet50,10,16,4334.2668533325195,40,108.35667133331299

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,7117.102527618408,200,35.58551263809204
resnet50,10,16,7376.719192504883,68,108.48116459566005

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,20,4,1712.688702583313,200,8.563443512916566
resnet50,10,4,1790.7557640075684,45,39.79457253350152

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,20,8,2222.227996826172,200,11.11113998413086
resnet50,10,4,2296.7788619995117,57,40.294365999991435

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,20,16,3771.338436126709,200,18.856692180633544
resnet50,10,4,3898.814422607422,96,40.61265023549398

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,20,4,1680.2618556022644,200,8.401309278011322
resnet50,10,8,1760.6325149536133,25,70.42530059814453

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,20,8,2233.1592321395874,200,11.165796160697937
resnet50,10,8,2355.509376525879,33,71.37907201593572

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,20,16,3779.6319007873535,200,18.898159503936768
resnet50,10,8,3924.3143615722656,55,71.35117021040483

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,20,4,1675.4590091705322,200,8.37729504585266
resnet50,10,16,1760.2665328979492,16,110.01665830612183

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,20,8,2243.8065662384033,200,11.219032831192017
resnet50,10,16,2418.9453506469727,22,109.95206139304422

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,20,16,3807.037063598633,200,19.035185317993164
resnet50,10,16,3994.1403579711914,36,110.94834327697754

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,30,4,1670.635718345642,200,8.353178591728211
resnet50,10,4,1709.9214897155762,42,40.71241642179943

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,30,8,1695.3206720352173,200,8.476603360176087
resnet50,10,4,1798.9590034484863,43,41.836255894150845

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,30,16,2566.521828651428,200,12.832609143257141
resnet50,10,4,2670.7564392089844,62,43.07671676143523

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,30,4,1674.4942407608032,200,8.372471203804016
resnet50,10,8,1721.5252990722656,24,71.73022079467773

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,30,8,1715.6770248413086,200,8.578385124206543
resnet50,10,8,1848.404396057129,25,73.93617584228515

